source,target_year,target_t,observed_max_3m_abs,baseline_max_3m,baseline_lead_nino,cnop_lead_nino,lead_delta,cnop_max_3m,gain_max_3m,best_start_idx,best_objective,mask_count,case,cluster,pc1,pc2
EC-Earth3,1930,960,0.4750073850154876,-0.3191417455673218,-0.4360970258712768,0.2837117314338684,0.7198087573051453,0.2526425421237945,0.5717842876911163,1,0.7185878753662109,12136,EC-Earth3_1930,2,-0.06864312658499776,0.05057721408576375
EC-Earth3,1904,648,0.2709878385066986,-0.0493333041667938,-0.2891440987586975,0.696796715259552,0.9859408140182496,0.8759257197380066,0.9252590239048004,5,0.9850025177001952,12136,EC-Earth3_1904,2,-0.1565813571533267,-0.02846694367857861
EC-Earth3,1878,336,0.2409280091524124,0.5000889301300049,-0.0914493203163147,1.0045340061187744,1.0959833264350891,1.3786611557006836,0.8785722255706787,0,1.096731185913086,12136,EC-Earth3_1878,2,-0.01825866235545746,-0.014586078624955163
CESM2,1856,72,0.2340704649686813,0.2253171056509018,0.0290551036596298,0.5205512642860413,0.4914961606264114,0.6025211811065674,0.3772040754556656,13,0.4911155700683594,12172,CESM2_1856,3,-0.36403308504522336,-0.2709402977235367
EC-Earth3,1927,924,0.2904192507266998,-0.2051759362220764,-0.2117627114057541,0.5306872129440308,0.7424499243497849,0.5537691712379456,0.758945107460022,10,0.7393245697021484,12136,EC-Earth3_1927,2,-0.24189621154514235,0.1154585468701865
EC-Earth3,1966,1392,0.4599622189998626,0.0883238241076469,-0.6253552436828613,0.2040985971689224,0.8294538408517838,0.920652449131012,0.832328625023365,11,0.8294506072998047,12136,EC-Earth3_1966,2,0.02922427912466883,0.09093156608695574
EC-Earth3,1942,1104,0.1833165436983108,0.4605089724063873,-0.1691437810659408,1.015936017036438,1.1850797981023788,1.374437689781189,0.9139287173748016,5,1.1867008209228516,12136,EC-Earth3_1942,2,-0.04669402167239061,-0.04242978083279959
GFDL-ESM4,1934,1008,0.3613700866699219,0.1111190021038055,-0.2844713926315307,0.7277277708053589,1.0121991634368896,0.8124602437019348,0.7013412415981293,4,1.0141563415527344,12198,GFDL-ESM4_1934,3,-0.04006523544651311,-0.41192300244560964
MPI-ESM1-2-HR,2003,1836,0.2315241545438766,0.5143868327140808,-0.340074211359024,0.4621336460113525,0.8022078573703766,1.3353201150894165,0.8209332823753357,13,0.8032436370849609,12178,MPI-ESM1-2-HR_2003,4,0.6151700735552691,0.15158954138397351
CESM2,1883,396,0.3573195040225982,0.3971292078495025,0.2609554231166839,0.8179987668991089,0.5570433437824249,0.8416293263435364,0.4445001184940338,1,0.5565757751464844,12172,CESM2_1883,3,-0.3519513212149521,-0.26796420843176466
EC-Earth3,1923,876,0.4210904538631439,0.2711497545242309,0.3145796358585357,1.3930500745773315,1.0784704387187958,1.278275489807129,1.007125735282898,6,1.0782489776611328,12136,EC-Earth3_1923,2,0.0010608118154621028,0.010646088588893217
IPSL-CM6A-LR,1879,348,0.4825248718261719,0.1590437293052673,0.1901966780424118,1.1032652854919434,0.9130686074495316,0.9944609999656676,0.8354172706604004,15,0.913066864013672,12116,IPSL-CM6A-LR_1879,1,-0.4487275421365491,0.3108184941435842
MPI-ESM1-2-HR,1868,216,0.3389269411563873,0.231629192829132,0.0678688585758209,0.8869986534118652,0.8191297948360443,1.1231309175491333,0.8915017247200012,8,0.8195228576660156,12178,MPI-ESM1-2-HR_1868,4,0.6346159633980396,0.1805013155537045
GFDL-ESM4,1984,1608,0.3825696408748626,0.1229209974408149,-0.4923739731311798,0.4204711616039276,0.9128451347351074,0.8394836783409119,0.7165626809000969,3,0.9150962829589844,12198,GFDL-ESM4_1984,3,0.05786214862464467,-0.3271114014052159
MPI-ESM1-2-HR,1863,156,0.4999128878116607,0.0318475477397441,0.0178744103759527,0.8568215370178223,0.8389471266418695,0.937189519405365,0.9053419716656208,1,0.8384723663330078,12178,MPI-ESM1-2-HR_1863,4,0.62404434446694,0.06840888373700088
IPSL-CM6A-LR,1880,360,0.1264190673828125,0.1348888427019119,0.1268915981054306,1.116102695465088,0.9892110973596572,1.0345219373703003,0.8996330946683884,2,0.9883460998535156,12116,IPSL-CM6A-LR_1880,1,-0.47300262343401756,0.4123123429726764
EC-Earth3,1971,1452,0.4107303619384765,-0.1995405107736587,-0.374077171087265,0.4979974627494812,0.8720746338367462,0.5809786319732666,0.7805191427469254,2,0.872894287109375,12136,EC-Earth3_1971,2,-0.1009856179940596,0.06643164710926228
IPSL-CM6A-LR,1963,1356,0.3775901794433594,0.0270878281444311,-0.4661484658718109,0.4263054728507995,0.8924539387226105,0.7578476071357727,0.7307597789913416,0,0.8931827545166016,12116,IPSL-CM6A-LR_1963,1,-0.27863085359944467,0.4343872366402236
EC-Earth3,1889,468,0.3245874941349029,0.4427756369113922,-0.2070058733224868,0.9984368085861206,1.2054426819086077,1.3118888139724731,0.8691131770610809,4,1.2058677673339844,12136,EC-Earth3_1889,2,-0.10866694879955985,-0.001987472115282202
EC-Earth3,1948,1176,0.3840484619140625,0.6961736083030701,-0.5457590222358704,0.3165324628353119,0.8622914850711823,1.575973629951477,0.879800021648407,8,0.8600254058837891,12136,EC-Earth3_1948,2,0.018908550559917456,0.06112472148949753
IPSL-CM6A-LR,1905,660,0.3208033144474029,0.0993101596832275,0.1593809872865677,0.9493235349655152,0.7899425476789474,0.8379767537117004,0.7386665940284729,7,0.7885723114013672,12116,IPSL-CM6A-LR_1905,1,-0.2950923514319062,0.36609806495091335
EC-Earth3,1890,480,0.2563463747501373,0.0035043859388679,-0.5905742049217224,0.3863109648227691,0.9768851697444916,0.9082605242729188,0.9047561383340508,3,0.9739780426025392,12136,EC-Earth3_1890,2,-0.11667641826502916,0.015808185104011666
MPI-ESM1-2-HR,1888,456,0.4991645812988281,0.4859136044979095,0.5115332007408142,1.2470232248306274,0.7354900240898132,1.2252249717712402,0.7393113672733307,6,0.7361907958984375,12178,MPI-ESM1-2-HR_1888,4,0.6801028905376821,-0.037517694221120404
GFDL-ESM4,1960,1320,0.4389820098876953,0.0206194370985031,-0.4929895102977752,0.3076910078525543,0.8006805181503296,0.8126642107963562,0.7920447736978531,12,0.8013496398925781,12198,GFDL-ESM4_1960,3,-0.2088038993653185,-0.319353525409687
EC-Earth3,1975,1500,0.1947676390409469,0.1118946075439453,0.1673415899276733,0.925646722316742,0.7583051323890686,0.8580026626586914,0.7461080551147461,0,0.7572345733642578,12136,EC-Earth3_1975,2,-0.08568649164135186,0.13719697339397405
MPI-ESM1-2-HR,1925,900,0.4967848360538482,0.4191202223300934,0.1898136883974075,1.0408157110214231,0.8510020226240158,1.2552728652954102,0.8361526429653168,5,0.8512935638427734,12178,MPI-ESM1-2-HR_1925,4,0.6244988085195619,0.08394063439219795
EC-Earth3,1959,1308,0.1584116667509079,-0.0508656464517116,-0.532123327255249,0.1901125907897949,0.722235918045044,0.7021014094352722,0.7529670558869839,0,0.7206707000732422,12136,EC-Earth3_1959,2,-0.01836332633109103,0.09541834221757152
MPI-ESM1-2-HR,1870,240,0.3394864499568939,-0.0832161381840705,-0.405522882938385,0.3801923394203186,0.7857152223587036,0.7251917719841003,0.8084079101681709,3,0.7860336303710938,12178,MPI-ESM1-2-HR_1870,4,0.5331987941311289,0.12086202921708313
EC-Earth3,1891,492,0.3850549161434173,0.0246641431003808,0.0102488305419683,0.797875702381134,0.7876268718391657,0.7440440058708191,0.7193798627704382,15,0.7861442565917969,12136,EC-Earth3_1891,2,-0.16189777343473602,0.1857773099056478
MPI-ESM1-2-HR,1984,1608,0.4608999788761139,0.3624238073825836,0.1295023411512375,1.1207693815231323,0.9912670403718948,1.230387806892395,0.8679639995098114,1,0.992441177368164,12178,MPI-ESM1-2-HR_1984,4,0.6471394678622351,-0.055326966155402606
MPI-ESM1-2-HR,1904,648,0.4589811861515045,0.3570956289768219,0.3965678811073303,1.1414724588394165,0.7449045777320862,1.0408118963241575,0.6837162673473358,8,0.7452182769775391,12178,MPI-ESM1-2-HR_1904,4,0.5902419952328531,-0.096804657460126
