source,target_year,target_t,observed_max_3m_abs,baseline_max_3m,baseline_lead_nino,cnop_lead_nino,lead_delta,cnop_max_3m,gain_max_3m,best_start_idx,best_objective,mask_count
EC-Earth3,1930,960,0.47500738501548767,-0.3191417455673218,-0.43609702587127686,0.2837117314338684,0.7198087573051453,0.25264254212379456,0.5717842876911163,1,0.7185878753662109,12136
EC-Earth3,1904,648,0.2709878385066986,-0.04933330416679382,-0.2891440987586975,0.696796715259552,0.9859408140182495,0.8759257197380066,0.9252590239048004,5,0.9850025177001953,12136
EC-Earth3,1878,336,0.24092800915241241,0.5000889301300049,-0.0914493203163147,1.0045340061187744,1.0959833264350891,1.3786611557006836,0.8785722255706787,0,1.096731185913086,12136
CESM2,1856,72,0.23407046496868134,0.2253171056509018,0.029055103659629822,0.5205512642860413,0.49149616062641144,0.6025211811065674,0.3772040754556656,13,0.4911155700683594,12172
EC-Earth3,1927,924,0.29041925072669983,-0.20517593622207642,-0.2117627114057541,0.5306872129440308,0.7424499243497849,0.5537691712379456,0.758945107460022,10,0.7393245697021484,12136
EC-Earth3,1966,1392,0.45996221899986267,0.08832382410764694,-0.6253552436828613,0.20409859716892242,0.8294538408517838,0.920652449131012,0.832328625023365,11,0.8294506072998047,12136
EC-Earth3,1942,1104,0.18331654369831085,0.46050897240638733,-0.16914378106594086,1.015936017036438,1.1850797981023788,1.374437689781189,0.9139287173748016,5,1.1867008209228516,12136
GFDL-ESM4,1934,1008,0.3613700866699219,0.11111900210380554,-0.28447139263153076,0.7277277708053589,1.0121991634368896,0.8124602437019348,0.7013412415981293,4,1.0141563415527344,12198
MPI-ESM1-2-HR,2003,1836,0.23152415454387665,0.5143868327140808,-0.34007421135902405,0.46213364601135254,0.8022078573703766,1.3353201150894165,0.8209332823753357,13,0.8032436370849609,12178
CESM2,1883,396,0.35731950402259827,0.39712920784950256,0.26095542311668396,0.8179987668991089,0.5570433437824249,0.8416293263435364,0.4445001184940338,1,0.5565757751464844,12172
EC-Earth3,1923,876,0.4210904538631439,0.27114975452423096,0.31457963585853577,1.3930500745773315,1.0784704387187958,1.278275489807129,1.007125735282898,6,1.0782489776611328,12136
