source,target_year,target_t,observed_max_3m_abs,baseline_max_3m,cnop_max_3m,gain_max_3m,mask_count
IPSL-CM6A-LR,1880,360,0.1264190673828125,-0.031490325927734375,1.3547325134277344,1.3862228393554688,12116
EC-Earth3,1959,1308,0.1584116667509079,-0.22528330981731415,1.0752944946289062,1.3005777597427368,12136
EC-Earth3,1942,1104,0.18331654369831085,0.28612202405929565,1.7604560852050781,1.4743340015411377,12136
EC-Earth3,1975,1500,0.19476763904094696,-0.08638064563274384,1.2473609447479248,1.333741545677185,12136
MPI-ESM1-2-HR,1876,312,0.2206541746854782,-0.4322141110897064,1.0922883749008179,1.5245025157928467,12178
GFDL-ESM4,1995,1740,0.22883670032024384,0.09981473535299301,1.6876596212387085,1.5878448486328125,12198
MPI-ESM1-2-HR,2003,1836,0.23152415454387665,0.4299449920654297,1.8786170482635498,1.4486720561981201,12178
CESM2,1856,72,0.23407046496868134,0.10757128894329071,0.8628711700439453,0.7552998661994934,12172
EC-Earth3,1878,336,0.24092800915241241,0.32558125257492065,1.714986801147461,1.3894054889678955,12136
GFDL-ESM4,1930,960,0.25204405188560486,-0.6061992645263672,1.1143277883529663,1.7205270528793335,12198
